Unnamed: 0,Location,Year,Month,Day,Latitude,Longitude,Country,Region_HiMAP,Type,Impact,Fatalities,Injured,Livestock,Leisure,Remarks,Reference
234,"Sarchashma, Maimai, Badakhshan",2020,2.0,12.0,38.39520149,71.06269243,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
235,"Sarchashmai Markazi, Maimai, Badakhshan",2021,2.0,9.0,38.39520149,71.06269243,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
236,"Kughaz, Maimai, Badakhshan",2017,3.0,25.0,38.39066741,71.07082108,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
237,"Kughaz, Maimai, Badakhshan",2019,1.0,16.0,38.39066741,71.07082108,Afghanistan,6.0,slab avalanche,Y,0,5.0,0.0,,5 persons injured,AKAH-A
238,"Wereezn (Shighnan), Shighnan, Badakhshan",2022,3.0,12.0,38.41402569,71.08163064,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
239,Jirgital,2006,1.0,30.0,39.405905,71.091765,Tajikistan,5.0,snow avalanche,Y,18,12.0,,,,https://reliefweb.int/report/tajikistan/tajikistan-18-people-killed-avalanche
240,"Rawand Sharist, Maimai, Badakhshan",2017,1.0,30.0,37.82731998,71.09525999,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
241,"Rawand Sharist, Maimai, Badakhshan",2017,2.0,16.0,37.82731998,71.09525999,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
242,"Rawand Sharist, Maimai, Badakhshan",2018,2.0,15.0,37.82731998,71.09525999,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
243,"Rawand Sharist, Maimai, Badakhshan",2021,3.0,17.0,37.82731998,71.09525999,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
244,"Khuf (Warfad), Maimai, Badakhshan",2019,1.0,19.0,37.982926,71.100024,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
245,"Khuf, Maimai, Badakhshan",2021,3.0,29.0,37.982926,71.100024,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
246,"Zodo Badoof, Arghanj Khaw, Badakhshan",2010,6.0,18.0,37.70279,71.10715,Afghanistan,6.0,wet snow avalanche,N,0,0.0,0.0,,,AKAH-A
247,"Zood Raban, Arghanj Khaw, Badakhshan",2016,1.0,13.0,37.70279,71.10715,Afghanistan,6.0,slab avalanche,Y,3,,0.0,,,AKAH-A
248,"Payanshar, Maimai, Badakhshan",2017,2.0,17.0,38.38890359,71.12543586,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
249,"Jashtak, Maimai, Badakhshan",2015,1.0,12.0,38.39735823,71.12691572,Afghanistan,6.0,slab avalanche,Y,2,1.0,0.0,,1 persons injured,AKAH-A
250,"Jashtak, Maimai, Badakhshan",2019,1.0,16.0,38.39735823,71.12691572,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
251,"Dad Ali, Arghanj Khaw, Badakhshan",2012,6.0,28.0,37.36279406,71.13172483,Afghanistan,6.0,wet snow avalanche,N,0,,0.0,,,AKAH-A
252,"Panjai Mard, Maimai, Badakhshan",2017,2.0,15.0,37.87968282,71.1354013,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
253,"Panjai Mard, Maimai, Badakhshan",2017,2.0,15.0,37.87968282,71.1354013,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
254,"Panjai Mard, Maimai, Badakhshan",2017,2.0,15.0,37.87968282,71.1354013,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
255,"Panjai Mard, Maimai, Badakhshan",2017,2.0,15.0,37.87968282,71.1354013,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
256,"Panjai Mard, Maimai, Badakhshan",2017,2.0,18.0,37.87968282,71.1354013,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
257,"Panjai Mard, Maimai, Badakhshan",2017,2.0,18.0,37.87968282,71.1354013,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
258,"Panjai Mard, Maimai, Badakhshan",2017,2.0,18.0,37.87968282,71.1354013,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
